DATA_WIDTH, ADDR_WIDTH, CFG_REG_WIDTH, NUM_OF_CFG_REGS, MEM_DATA_WIDTH, BUFF_SIZE, LATENCY, MEMORY_BANDWIDTH, RESULT OF TEST
8, 8, 8, 2, 1100, 256, 200, 300, 508
8, 8, 8, 2, 1100, 256, 2000, 300, 2293
8, 8, 8, 16, 1100, 256, 200, 300, 1507
8, 8, 8, 16, 1100, 256, 2000, 300, 3292
8, 8, 8, 256, 1100, 256, 200, 300, 18448
8, 8, 8, 256, 1100, 256, 2000, 300, 20233
8, 8, 8, 1024, 1100, 256, 200, 300, 72656
8, 8, 8, 1024, 1100, 256, 2000, 300, 74441
8, 8, 16, 2, 1100, 256, 200, 300, 508
8, 8, 16, 2, 1100, 256, 2000, 300, 2293
8, 8, 16, 16, 1100, 256, 200, 300, 1507
8, 8, 16, 16, 1100, 256, 2000, 300, 3292
8, 8, 16, 256, 1100, 256, 200, 300, 18448
8, 8, 16, 256, 1100, 256, 2000, 300, 20233
8, 8, 16, 1024, 1100, 256, 200, 300, 72656
8, 8, 16, 1024, 1100, 256, 2000, 300, 74441
8, 8, 32, 2, 1100, 256, 200, 300, 509
8, 8, 32, 2, 1100, 256, 2000, 300, 2294
8, 8, 32, 16, 1100, 256, 200, 300, 1494
8, 8, 32, 16, 1100, 256, 2000, 300, 3298
8, 8, 32, 256, 1100, 256, 200, 300, 18449
8, 8, 32, 256, 1100, 256, 2000, 300, 20234
8, 8, 32, 1024, 1100, 256, 200, 300, 72657
